regiao	cidade	hospital	Direto Nacional Enf	Direto Nacional Quarto	Clássico Vital Enf	Clássico 100 Enf	Especial RC Quarto	Especial 100 RC Quarto	Especial 100 R1 Quarto	Especial Vital Quarto	Especial Vital R1 Quarto	Especial Mais Quarto	Especial Mais Vital Quarto	Executivo R1 Quarto	Executivo R2 Quarto	Executivo R3 Quarto	Prestige Quarto
Grande SP	Osasco	Projeto Criança	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP
Grande SP	Itapecerica da Serra	Sta Mônica	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Grande SP	Guarulhos	H de Olhos C.R.O	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Grande SP	Osasco	H e Mat Cruzeiro do Sul	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Grande SP	Itapevi	H e Mat Nova Vida	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Grande SP	Guarulhos	H e Mat São Luiz	-	-	H,M,PS	H,M,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Grande SP	Guarulhos	H Stella Maris	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
Grande SP	Barueri	São Luiz Alphaville	-	-	PS	PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Grande SP	Caieiras	H Clín Caieiras	H,PSA	H,PSA	-	H,PS¹	H,PS¹	H,PS¹	H,PS¹	-	-	H,PS¹	-	H,PS¹	H,PS¹	H,PS¹	H,PS¹
Grande SP	Guarulhos	H Carlos Chagas	-	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Grande SP	Barueri	CM Albert Einstein - Alphaville	-	-	-	-	-	-	-	-	-	-	-	PS	PS	PS	PS
Grande SP - Sul	Embu das Artes	Clín Maia (Psiquiatria)	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Alto Tietê	Suzano	Clín Saint Nicholas	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Alto Tietê	Itaquaquecetuba	CM São Lucas	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Alto Tietê	Mogi das Cruzes	H e Mat Mogi Mater	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Alto Tietê	Suzano	H Saint Nicholas	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Alto Tietê	Suzano	H Sta Maria de Suzano	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Alto Tietê	Mogi das Cruzes	H Urológico Mogi	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Alto Tietê	Arujá	Ipiranga (AMA)	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Alto Tietê	Guararema	Sta Casa	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA
Alto Tietê	Santa Isabel	Sta Casa	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
Alto Tietê	Mogi das Cruzes	H Previna	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
Alto Tietê	Mogi das Cruzes	H Santana	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Alto Tietê	Mogi das Cruzes	Sta Casa	-	-	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
Alto Tietê	Mogi das Cruzes	H Ipiranga	H,PSA	H,PSA	-	H,PSA	H,PSA	H,PSA	H,PSA	-	-	H,PSA	-	H,PSA	H,PSA	H,PSA	H,PSA
Campinas e Região	Cosmópolis	Amorsaúde	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB	LAB
Campinas e Região	Campinas	Centro Médico Campinas	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Indaiatuba	CM Vera Cruz São Camilo	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Campinas e Região	Indaiatuba	Cto de Traumatologia Ortopédico	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA	H¹,PA
Campinas e Região	Amparo	H Benef Portuguesa de Amparo	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
Campinas e Região	Campinas	H Boldrini	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Vargem Grande do Sul	H de Caridade	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA
Campinas e Região	Jundiaí	H Dia Oftalmológico	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Valinhos	H e Mat Galileo	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA	H,PSA
Campinas e Região	Campinas	H Geral e Mat Sta Tereza	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itatiba	H Itatiba	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Atibaia	H Novo Atibaia	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Jundiaí	H Paulo Sacramento	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Várzea Paulista	H Paulo Sacramento	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Campinas e Região	Itupeva	H Psiquiátrico Itupeva	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Hortolândia	H Samaritano Hortolândia	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Americana	H São Lucas	H,PSA	H,PSA	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PSA	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Jundiaí	H Sta Elisa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Indaiatuba	H Sta Ignês	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Bragança Paulista	H Universitário HUSF	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Indaiatuba	HAOC	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Piracicaba	HFC	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itapira	Inst Bairral Psiquiatria	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Campinas	Inst Penido Burnier	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Americana	Inst Pro Visão	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Indaiatuba	Instituto Indaiá - IRPSI	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Limeira	Medical de Limeira	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Americana	São Francisco de Americana	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Bragança Paulista	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Capivari	Sta Casa	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA
Campinas e Região	Cosmópolis	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itapira	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Itatiba	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Limeira	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Louveira	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Pirassununga	Sta Casa	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Campinas e Região	Valinhos	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Vinhedo	Sta Casa	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	São João da Boa Vista	Sta Casa Dona Carolina Malheiros	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Rio Claro	Sta Filomena	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Atibaia	Albert Sabin	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Campinas Day H	-	-	H	H	H	H	H	H	H	H	H	H	H	H	H
Campinas e Região	Campinas	Casa de Saúde Vera Cruz Campinas	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Campinas e Região	Indaiatuba	Day H Indaiatuba	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Campinas e Região	Campinas	H Renascença Campinas	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	H São Luiz	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Santa Bárbara d'Oeste	Samaritano - Sta Bárbara D'oeste	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Samaritano de Campinas	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	São Pedro	Sta Casa	-	-	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA	H,M,PSA
Campinas e Região	Campinas	H Vera Cruz	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Campinas e Região	Campinas	Madre Theodora	H,M,PS¹	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Campinas e Região	Jundiaí	Pitangueiras	H,M,PS	H,M,PS	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Guarujá	Casa de Saúde	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Praia Grande	Casa de Saúde	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H Infantil do Gonzaga	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP	H,PSP
Baixada Santista	São Vicente	H São José	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	Sta Casa	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Santos	Casa de Saúde	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Guarujá	CC NDI Frei Galvão	-	-	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP	PSP
Baixada Santista	Santos	H Frei Galvão	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H São Lucas de Santos	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Baixada Santista	Cubatão	H Ana Costa	H,PS	H,PS	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	-	H,PS	H,PS	H,PS	H,PS
Baixada Santista	Santos	H Ana Costa - Dr Aloísio F	H,M,PS	H,M,PS	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Baixada Santista	Guarujá	H Ana Costa	PS	PS	-	PS	PS	PS	PS	-	-	PS	-	PS	PS	PS	PS
Baixada Santista	Praia Grande	H Ana Costa	H¹,PS	H¹,PS	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS	-	-	H¹,PS	-	H¹,PS	H¹,PS	H¹,PS	H¹,PS
Baixada Santista	São Vicente	H Ana Costa	H,PS	H,PS	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	-	H,PS	H,PS	H,PS	H,PS
Interior	São José do Rio Preto	Adolfo Bezerra de Menezes	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	Presidente Prudente	Assoc Assist Adolpho Bezerra de Menezes	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	Caçapava	Grupo R Mattos	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	São José do Rio Preto	H Andrade e Montanhez	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	Bauru	H Bauru	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Bauru	H Benef Portuguesa de Bauru	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
Interior	Fernandópolis	H das Clínicas	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H
Interior	São José do Rio Preto	H de Base	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Franca	H de Franca	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Assis	H de Olhos Oeste Paulista	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	Assis	H e Mat de Assis	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Franca	H e Mat São Joaquim	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Registro	H e Mat São José	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Lins	H e Mat São Lucas	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
Interior	Marília	H Espírita de Marília	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Interior	Ribeirão Preto	H Fundação e Mat Sinha Junqueira	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
